"draught","speed_through_water","beaufort","consumption_main_engine_mt_per_day","consumption_auxiliary_engine_mt_per_day","consumption_boiler_engine_mt_per_day","imo"
6.0,12.4,4.0,16.308513773344313,3.1,0.0,345678
6.0,12.4,5.0,19.697024614342745,3.1,0.0,345678
6.0,12.4,6.0,25.81107391688663,3.1,0.0,345678
6.0,12.5,0.0,13.51691116067123,3.6,1.0,345678
6.0,12.5,1.0,13.655070397129238,3.6,1.0,345678
6.0,12.5,2.0,14.033728939241271,3.6,1.0,345678
6.0,12.5,3.0,14.89343558525023,3.1,0.0,345678
6.0,12.5,4.0,16.681227188996086,3.1,0.0,345678
6.0,12.5,5.0,20.103325068257476,3.1,0.0,345678
6.0,12.5,6.0,26.25838479659663,3.1,0.0,345678
6.0,12.6,0.0,13.879754450346983,3.6,1.0,345678
6.0,12.6,1.0,14.019653543579608,3.6,1.0,345678
6.0,12.6,2.0,14.402259340132908,3.6,1.0,345678
6.0,12.6,3.0,15.269021217091725,3.1,0.0,345678
6.0,12.6,4.0,17.06883241531744,3.1,0.0,345678
6.0,12.6,5.0,20.525071003153172,3.1,0.0,345678
6.0,12.6,6.0,26.720537636363925,3.1,0.0,345678
6.0,12.7,0.0,14.242767713216033,3.6,1.0,345678
6.0,12.7,1.0,14.384409765250668,3.6,1.0,345678
6.0,12.7,2.0,14.770962604563735,3.1,0.0,345678
